"Brnd_Name","Gnrc_Name","Tot_Spndng","Tot_Benes","Tot_Clms"
Eliquis,Apixaban,20774928384,4424796.0,24061332
Ozempic,Semaglutide,12970296320,1952637.0,10417182
Jardiance,Empagliflozin,11435997184,2543331.0,11368280
Mounjaro,Tirzepatide,6336942592,894581.0,5105397
Xarelto,Rivaroxaban,6232231936,1321019.0,6660246
Trulicity,Dulaglutide,5454134784,788716.0,4305141
Trelegy Ellipta,Fluticasone/Umeclidin/Vilanter,5294401536,1268914.0,6250872
Farxiga,Dapagliflozin Propanediol,5290548736,1269216.0,5634650
Humira(Cf) Pen,Adalimumab,4328698880,63768.0,490303
Revlimid,Lenalidomide,4179511552,38868.0,239843
